_id,utm_medium,app__os
61236b0788,cross-promotion,iOS
1869b004c6,invite,iOS
1515f0c4f4,invite,iOS
1c79bc8968,invite,iOS
39bb057b4c,invite,android
e79df02425,invite,iOS
99cebef82e,invite,iOS
b25f504c25,organic,iOS
6c258c64a1,email,iOS
f0cfa0fa86,invite,iOS
fd79b67e88,invite,android
39739b095f,invite,android
959b9ecd24,invite,android
aa1d12e550,invite,iOS
ff5415ce3e,invite,iOS
fc4499506f,invite,android
fda809153a,invite,android
dee6d43124,invite,iOS
c0e4f0441c,invite,android
faa8ad5895,invite,android
c5aaee9123,invite,iOS
2fd87f38bb,invite,android
e2e2f3d2e8,organic,android
7161c528ed,organic,iOS
cfe992372b,invite,iOS
69fcb379ad,invite,android
05f11606d3,invite,iOS
f3268f1250,invite,iOS
a0a57179ae,invite,Win32NT
bca69867b3,invite,android
28cb207f3b,organic,iOS
dacb83c79b,organic,iOS
3e968f2909,invite,iOS
47633d8002,invite,iOS
e7fc09ce6f,invite,iOS
003508cc52,invite,iOS
d620090ae8,invite,iOS
b733dbc9c8,invite,android
4a06017c7d,blogger,iOS
7ea10cbfce,invite,iOS
7d9e6f5561,invite,iOS
5e492a4920,organic,android
4f7f328444,invite,iOS
4da1954f1d,email,android
7b3dcd1454,organic,iOS
2cf5936d07,invite,iOS
088900057b,invite,android
38993318d0,organic,iOS
a549a4b744,invite,android
519d9fe787,invite,iOS
c1f3a15498,invite,iOS
37cfec74f9,invite,iOS
7b040fc176,invite,android
ed257e49e8,organic,iOS
fb8eac7fcb,invite,android
187dfcd971,invite,android
0ca982bc19,cross-promotion,android
c1127f0ac5,invite,iOS
78638a641a,invite,iOS
8b62695ed6,invite,iOS
a62bcda07e,invite,iOS
b449d2106b,invite,iOS
89439eaa5d,invite,android
911e756383,invite,iOS
993078661a,invite,android
2cc4bf4b58,invite,android
52a042ac03,invite,iOS
b634b7146d,invite,iOS
2c518edb8a,invite,iOS
0550c581d6,invite,android
1f394cbf3d,invite,iOS
e6bcbecc2a,invite,iOS
92b9b73578,invite,iOS
3c7e6d1157,cross-promotion,android
d89f0600d3,invite,iOS
e543aeb61b,invite,android
e178e01ac2,invite,iOS
0fb4d90210,invite,iOS
4a5cbd02f3,invite,android
6cb81c5ddc,invite,iOS
a583f8dbcd,invite,iOS
f0356f3c04,organic,iOS
b43c366ae2,invite,iOS
16dc8d10ab,invite,iOS
23332696de,invite,iOS
d247f7a6a8,invite,iOS
6a86782fe4,invite,iOS
fecd265b00,invite,android
8a44b9be4a,blogger,iOS
7b9c3e8c52,invite,iOS
a4094a8594,blogger,iOS
ced43bd5f8,organic,iOS
274ed202a0,invite,iOS
8b00fc735b,invite,iOS
2c05d02e76,invite,android
f8bf7de8dd,offline,iOS
9d70870a54,invite,iOS
357fddff33,invite,android
f61855499f,invite,android
982090294a,invite,iOS
b0968b8639,invite,iOS
46bf9da6d6,affiliate,iOS
30748f60c5,invite,iOS
742824a58b,organic,web
6c00acf4df,organic,android
af84263ab0,invite,iOS
68dee415d2,invite,iOS
2146c90ac6,invite,android
7cef49727f,invite,android
0caa06b166,invite,android
f0780c1076,invite,iOS
5f5835c11a,invite,android
70022a92d5,organic,iOS
4ffb05d004,organic,iOS
3da012ff5f,invite,android
f3da84557c,invite,iOS
9199b4ab4d,invite,iOS
5d4af02f9a,invite,iOS
560bb394fe,invite,iOS
d939f2fb5a,invite,iOS
5bacb69b9b,others,iOS
e247838298,cross-promotion,iOS
4763018173,organic,android
baf45f7ca3,invite,android
68028ae5e6,organic,iOS
b90f16441d,invite,iOS
b80f833972,invite,iOS
d0ebcd74fd,blogger,iOS
c4f5acc911,organic,iOS
755d05843f,invite,iOS
32c39733df,invite,iOS
2c44244390,invite,iOS
14a5b3ed85,invite,android
d84388317a,organic,iOS
ea04335245,invite,android
b7e901c57e,invite,iOS
d9e46150b9,organic,android
9ae2f6fdb3,invite,iOS
665e73475f,email,iOS
09fa2c4e77,invite,android
cf28d0828d,invite,android
e7a53b38ec,invite,iOS
74e77a5038,invite,iOS
1757a29a37,invite,android
8f068a2599,organic,iOS
6040ab113e,invite,iOS
6fa15b1fdf,invite,iOS
4e47c8bd88,invite,iOS
